rank,name,pos,team,tier,tier_label,ppg
1,Brandon Aubrey,K,DAL,1,S,11.0
2,Ka'imi Fairbairn,K,HOU,2,A,12.9
3,Cameron Dicker,K,LAC,2,A,10.0
4,Jason Myers,K,SEA,2,A,11.9
5,Cam Little,K,JAX,3,B,9.6
6,Jake Bates,K,DET,4,C,8.9
7,Harrison Mevis,K,LAR,4,C,9.1
8,Tyler Loop,K,BAL,4,C,8.5
9,Chris Boswell,K,PIT,5,D,8.9
10,Eddy Pineiro,K,SF,5,D,10.0
11,Andres Borregales,K,NE,5,D,8.8
12,Harrison Butker,K,KC,5,D,8.8
13,Wil Lutz,K,DEN,6,E,7.9
14,Evan McPherson,K,CIN,6,E,8.0
15,Cairo Santos,K,CHI,6,E,8.8
