ds_rank,name,pos,team,pos_rank,ds_tier,games,adp,bye,sos,injury,floor,cons_proj,proj,ceil,value
237,T Ferguson,TE,LAR,22,15,17.0,178,11.0,-2.2,0.0,116.0,123.0,128.0,208.0,-6.0
238,S 49ers,DEF,SF,20,15,17.0,228,8.0,1.7,0.0,95.0,82.0,102.0,125.0,-6.0
239,D Singletary,RB,NYG,76,15,17.0,412,8.0,2.2,0.29,50.0,14.0,54.0,167.0,-6.0
240,D Zvada,K,NYG,21,15,17.0,633,8.0,0.2,0.0,134.0,111.0,141.0,166.0,-7.0
241,J Jeudy,WR,CLE,71,15,17.0,175,11.0,4.3,0.32,116.0,123.0,136.0,245.0,-7.0
242,J Nailor,WR,LVR,72,15,17.0,169,13.0,-5.0,0.0,116.0,125.0,136.0,242.0,-7.0
243,I Colts,DEF,IND,21,15,17.0,263,13.0,10.2,0.0,94.0,85.0,99.0,128.0,-7.0
244,T Titans,DEF,TEN,22,15,17.0,318,9.0,-0.2,0.0,94.0,81.0,97.0,129.0,-7.0
245,B Smith,RB,KC,77,15,17.0,290,5.0,0.6,0.22,52.0,39.0,64.0,141.0,-7.0
246,E Wilson,RB,SEA,80,15,17.0,262,11.0,5.6,0.0,43.0,45.0,54.0,159.0,-7.0
247,S McGowan,RB,IND,78,15,17.0,627,13.0,1.7,0.0,44.0,33.0,51.0,169.0,-7.0
248,J Wright,RB,MIA,79,15,17.0,245,6.0,0.8,0.23,42.0,47.0,50.0,173.0,-7.0
249,O Gordon II,RB,MIA,81,15,17.0,590,6.0,0.8,0.0,40.0,27.0,46.0,172.0,-7.0
250,R Fitzgerald,K,CAR,22,15,17.0,327,5.0,3.2,0.0,135.0,127.0,140.0,163.0,-8.0
