ds_rank,name,pos,team,pos_rank,ds_tier,games,adp,bye,sos,injury,floor,cons_proj,proj,ceil,value
168,J Johnson,TE,NO,16,12,17.0,147,8.0,-0.1,0.45,137.0,150.0,160.0,201.0,3.0
169,R Shaheed,WR,SEA,61,12,17.0,138,11.0,-0.1,0.38,137.0,139.0,159.0,253.0,3.0
170,I Likely,TE,NYG,15,12,17.0,107,8.0,3.2,0.73,143.0,159.0,157.0,208.0,3.0
171,J Myers,K,SEA,8,12,17.0,141,11.0,1.0,0.0,147.0,164.0,150.0,175.0,3.0
172,H Mevis,K,LAR,10,12,17.0,161,11.0,0.7,0.0,145.0,158.0,150.0,175.0,3.0
173,J Bates,K,DET,9,12,17.0,155,6.0,4.2,0.08,146.0,154.0,149.0,175.0,3.0
174,M Vikings,DEF,MIN,6,12,17.0,183,6.0,-12.4,0.0,101.0,104.0,111.0,133.0,3.0
175,P Eagles,DEF,PHI,7,12,17.0,219,10.0,-14.5,0.0,102.0,97.0,108.0,140.0,3.0
176,L Rams,DEF,LAR,8,12,17.0,133,11.0,-5.0,0.0,102.0,106.0,108.0,140.0,3.0
177,J Coleman,RB,DEN,54,12,17.0,148,10.0,0.1,0.0,74.0,54.0,83.0,245.0,3.0
178,G Smith,QB,NYJ,29,12,16.0,526,13.0,-4.4,0.36,214.0,235.0,241.0,387.0,2.0
179,F Mendoza,QB,LVR,30,12,13.0,208,13.0,-6.2,0.23,178.0,241.0,240.0,356.0,2.0
180,B Strange,TE,JAC,17,12,17.0,154,7.0,2.5,0.48,137.0,152.0,159.0,202.0,2.0
181,N Patriots,DEF,NE,9,12,17.0,216,11.0,0.2,0.0,98.0,95.0,113.0,128.0,2.0
182,J Hill,RB,BAL,55,12,17.0,396,13.0,-0.1,0.32,87.0,94.0,96.0,193.0,2.0
