rank,name,pos,team,tier,ovr_tier,pos_rank,ppg,ds_rank
110,Kenneth Gainwell,RB,TB,8,8,37,13,110
111,Blake Corum,RB,LAR,7,8,33,7.2,111
112,K Monangai,RB,CHI,,8,40,,112
113,Travis Kelce,TE,KC,5,8,10,11.4,113
114,Rachaad White,RB,WAS,8,9,39,8.4,114
115,Malik Willis,QB,GB,6,9,21,12.8,115
116,Brandon Aubrey,K,DAL,1,9,1,11.0,116
117,W Marks,RB,HOU,,9,42,,117
118,Daniel Jones,QB,IND,7,9,25,17.4,118
119,Xavier Worthy,WR,KC,8,9,51,7.8,119
120,A Jones,RB,MIN,,9,43,,120
121,R Doubs,WR,NE,,9,45,,121
122,KC Concepcion,WR,CLE,8,9,48,,122
123,Josh Jacobs,RB,GB,8,9,40,15.8,123
124,Z Charbonnet,RB,SEA,,9,45,,124
125,Michael Wilson,WR,ARI,8,9,45,13,126
126,Alec Pierce,WR,IND,8,9,43,12.2,127
127,Wan'Dale Robinson,WR,TEN,8,9,44,13.6,128
128,Cameron Dicker,K,LAC,2,9,3,10.0,129
129,Makai Lemon,WR,PHI,7,9,38,,130
130,Matthew Golden,WR,GB,8,9,47,5,131
131,D Sampson,RB,CLE,,10,46,,133
132,K Mitchell,RB,LAC,,10,47,,134
133,Cam Ward,QB,TEN,7,10,22,11,135
134,Houston Texans,DEF,HOU,1,10,2,9.6,136
135,C Rodriguez,RB,JAC,,10,48,,137
136,C.J. Stroud,QB,HOU,7,10,24,14.9,139
137,Dalton Kincaid,TE,BUF,5,11,13,10.5,141
138,M Washington Jr.,RB,LVR,,11,49,,142
139,K Shakir,WR,BUF,,11,56,,143
140,Tyson,WR,NO,8,11,50,,144
141,D Samuel,WR,SF,,11,57,,145
142,Dallas Goedert,TE,PHI,6,11,15,12.3,146
143,Ka'imi Fairbairn,K,HOU,2,11,2,12.9,147
144,Denver Broncos,DEF,DEN,1,11,3,8.4,148
145,Seattle Seahawks,DEF,SEA,2,11,4,10.5,149
146,T Allgeier,RB,ARI,,11,50,,150
147,Sam Darnold,QB,SEA,7,11,23,13.8,151
148,Bryce Young,QB,CAR,7,11,26,13.6,152
149,Jacoby Brissett,QB,ARI,8,11,30,16.3,153
150,Jake Ferguson,TE,DAL,5,11,12,11.1,154
151,Stribling,WR,SF,7,11,41,,155
152,Cam Little,K,JAX,3,11,5,9.6,156
153,Pittsburgh Steelers,DEF,PIT,4,11,10,7.6,158
154,B Robinson Jr.,RB,ATL,,11,51,,159
155,Mark Andrews,TE,BAL,5,11,11,7.7,160
156,Cairo Santos,K,CHI,6,11,15,8.8,161
157,Eddy Pineiro,K,SF,5,12,10,10.0,162
158,Evan McPherson,K,CIN,6,12,14,8.0,163
159,Baltimore Ravens,DEF,BAL,5,12,15,5.7,164
160,A Kamara,RB,NO,,12,52,,165
161,T Tracy Jr.,RB,NYG,,12,53,,166
162,Aaron Rodgers,QB,PIT,8,12,28,14.2,167
163,Juwan Johnson,TE,NO,7,12,19,10.6,168
164,R Shaheed,WR,SEA,,12,61,,169
165,Isaiah Likely,TE,NYG,6,12,14,4.4,170
166,Jason Myers,K,SEA,2,12,4,11.9,171
167,Harrison Mevis,K,LAR,4,12,7,9.1,172
168,Jake Bates,K,DET,4,12,6,8.9,173
169,M Vikings,DEF,MIN,,12,6,,174
170,Philadelphia Eagles,DEF,PHI,2,12,5,7.9,175
171,Los Angeles Rams,DEF,LAR,1,12,1,8.0,176
172,J Coleman,RB,DEN,,12,54,,177
173,Geno Smith,QB,NYJ,8,12,29,11.6,178
174,Fernando Mendoza,QB,LV,8,12,27,,179
175,Brenton Strange,TE,JAX,6,12,18,9.8,180
176,N Patriots,DEF,NE,,12,9,,181
177,J Hill,RB,BAL,,12,55,,182
178,J Coker,WR,CAR,,12,62,,183
179,W Reichard,K,MIN,,12,11,,184
180,T Smack,K,GB,,13,12,,185
181,J McMillan,WR,TB,,13,63,,186
182,D Boston,WR,CLE,,13,64,,187
183,Jacksonville Jaguars,DEF,JAX,3,13,6,8.5,188
184,Los Angeles Chargers,DEF,LAC,3,13,7,6.5,189
185,E Johnson,RB,KC,,13,56,,190
186,K Allen,WR,IND,,13,65,,191
187,Wil Lutz,K,DEN,6,13,13,7.9,192
188,Harrison Butker,K,KC,5,13,12,8.8,193
189,Kansas City Chiefs,DEF,KC,3,13,8,5.4,194
190,Detroit Lions,DEF,DET,4,13,12,5.7,195
191,I Pacheco,RB,DET,,13,60,,196
192,M Davis,RB,DAL,,13,57,,197
193,N Harris,RB,NYG,,13,58,,198
194,B Allen,RB,NYJ,,13,59,,199
195,Tyler Loop,K,BAL,4,13,8,8.5,200
196,Buffalo Bills,DEF,BUF,5,13,13,6.5,201
197,N Giants,DEF,NYG,,13,15,,202
198,J Conner,RB,ARI,,13,62,,203
199,C Brooks,RB,GB,,13,61,,204
200,Hunter Henry,TE,NE,6,13,17,10.5,205
201,T Tucker,WR,LVR,,14,66,,206
202,Andres Borregales,K,NE,5,14,11,8.8,207
203,G Holani,RB,SEA,,14,64,,208
204,N Singleton,RB,TEN,,14,63,,209
205,T Bigsby,RB,PHI,,14,65,,210
206,Chris Boswell,K,PIT,5,14,9,8.9,211
207,A Mitchell,WR,NYJ,,14,67,,212
208,G Packers,DEF,GB,,14,16,,213
209,S Perine,RB,CIN,,14,66,,214
210,I Davis,RB,NYJ,,14,67,,215
211,S Tucker,RB,TB,,14,70,,216
212,K Allen,RB,WAS,,14,69,,217
213,K Black,RB,SF,,14,68,,218
214,Dalton Schultz,TE,HOU,7,14,23,10.4,219
215,C McLaughlin,K,TB,,14,18,,220
216,Chicago Bears,DEF,CHI,5,14,14,6.8,221
217,C Browns,DEF,CLE,,14,18,,222
218,K Vidal,RB,LAC,,14,71,,223
219,T Buccaneers,DEF,TB,,15,19,,225
220,T Johnson,RB,BUF,,15,74,,226
221,L Allen,RB,JAC,,15,73,,227
222,K Miller,RB,NO,,15,72,,228
223,R Davis,RB,BUF,,15,75,,229
224,J Elliott,K,PHI,,15,19,,230
225,Chig Okonkwo,TE,WAS,7,15,21,7.3,231
226,Kenyon Sadiq,TE,NYJ,7,15,22,,232
227,T.J. Hockenson,TE,MIN,7,15,20,7.5,233
228,T Bass,K,BUF,,15,20,,234
229,C Ridley,WR,TEN,,15,69,,235
230,O Cooper Jr.,WR,NYJ,,15,70,,236
231,T Ferguson,TE,LAR,,15,22,,237
232,S 49ers,DEF,SF,,15,20,,238
233,D Singletary,RB,NYG,,15,76,,239
234,D Zvada,K,NYG,,15,21,,240
235,J Jeudy,WR,CLE,,15,71,,241
236,J Nailor,WR,LVR,,15,72,,242
237,I Colts,DEF,IND,,15,21,,243
238,Tennessee Titans,DEF,TEN,3,15,9,5.1,244
239,B Smith,RB,KC,,15,77,,245
240,E Wilson,RB,SEA,,15,80,,246
241,S McGowan,RB,IND,,15,78,,247
242,J Wright,RB,MIA,,15,79,,248
243,O Gordon II,RB,MIA,,15,81,,249
244,R Fitzgerald,K,CAR,,15,22,,250
245,Oronde Gadsden,TE,LAC,6,,16,8.8,
246,AJ Barner,TE,SEA,7,,24,8.7,
247,Gunnar Helm,TE,TEN,7,,25,5.7,
248,Tua Tagovailoa,QB,ATL,8,,31,11.5,
249,Shedeur Sanders,QB,CLE,8,,32,10.6,
250,Las Vegas Raiders,DEF,LV,4,,11,4.4,
